,comparison,number_of_papers,number_of_contributions,number_of_resources,number_of_literals,number_of_predicates,number_of_related_resources,number_of_related_figures,field_name
0,http://orkg.org/orkg/resource/R107854,4,4,29,5,1,0,0,Learner-Interface Interaction
1,http://orkg.org/orkg/resource/R108358,12,12,90,29,249,0,0,Geology
2,http://orkg.org/orkg/resource/R108601,4,4,6,7,24,0,0,Digital Communications and Networking
3,http://orkg.org/orkg/resource/R108719,3,3,6,19,47,0,0,Plant Pathology
4,http://orkg.org/orkg/resource/R109041,9,9,10,18,126,0,0,"Atomic, Molecular and Optical Physics"
5,http://orkg.org/orkg/resource/R109236,5,5,21,15,56,0,0,Geology
6,http://orkg.org/orkg/resource/R109546,4,4,17,12,40,0,0,Industrial and Organizational Psychology
7,http://orkg.org/orkg/resource/R109612,10,10,14,17,160,0,0,Oceanography
8,http://orkg.org/orkg/resource/R109904,12,12,15,4,35,0,0,Information Science
9,http://orkg.org/orkg/resource/R110071,4,4,8,9,30,0,0,Biomedical Engineering and Bioengineering
10,http://orkg.org/orkg/resource/R110124,4,4,26,9,25,0,0,Robotics
11,http://orkg.org/orkg/resource/R110138,3,3,4,9,41,0,0,Energy Systems
12,http://orkg.org/orkg/resource/R110188,3,3,4,5,13,0,0,Public Administration
13,http://orkg.org/orkg/resource/R110245,3,3,4,5,13,0,0,Public Administration
14,http://orkg.org/orkg/resource/R110361,7,8,43,15,21,0,0,Place and Environment
15,http://orkg.org/orkg/resource/R110651,2,2,6,18,20,0,0,Urban Studies and Planning
16,http://orkg.org/orkg/resource/R110655,6,6,23,15,28,0,0,Immunology of Infectious Disease
17,http://orkg.org/orkg/resource/R110777,3,3,7,5,11,0,0,Analysis
18,http://orkg.org/orkg/resource/R110991,5,5,7,7,30,0,0,Virology
19,http://orkg.org/orkg/resource/R111117,3,3,5,6,14,0,0,Food Processing
20,http://orkg.org/orkg/resource/R111151,3,3,7,5,6,0,0,Comparative Politics
21,http://orkg.org/orkg/resource/R111154,2,2,12,29,37,0,0,Computer Engineering
22,http://orkg.org/orkg/resource/R112387,19,19,212,12,398,0,0,Software Engineering
23,http://orkg.org/orkg/resource/R113089,8,8,34,6,1,0,0,Information Science
24,http://orkg.org/orkg/resource/R114155,27,27,181,17,323,0,0,Software Engineering
25,http://orkg.org/orkg/resource/R137151,8,8,18,20,182,0,0,Geology
26,http://orkg.org/orkg/resource/R137164,8,8,18,20,182,0,0,Geology
27,http://orkg.org/orkg/resource/R137469,27,29,30,9,218,0,0,Applied Physics
28,http://orkg.org/orkg/resource/R138179,8,8,16,20,227,0,0,Planetary Sciences
29,http://orkg.org/orkg/resource/R138373,8,8,13,22,121,0,0,Oceanography
30,http://orkg.org/orkg/resource/R138393,6,6,12,29,211,0,0,Planetary Sciences
31,http://orkg.org/orkg/resource/R138418,6,6,10,22,93,0,0,Oceanography
32,http://orkg.org/orkg/resource/R138483,6,6,9,19,92,0,0,Oceanography
33,http://orkg.org/orkg/resource/R138501,8,8,13,22,128,0,0,Oceanography
34,http://orkg.org/orkg/resource/R138542,6,6,12,50,271,0,0,Planetary Sciences
35,http://orkg.org/orkg/resource/R138633,9,9,55,26,120,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
36,http://orkg.org/orkg/resource/R139050,55,55,158,9,183,0,0,Bioinformatics
37,http://orkg.org/orkg/resource/R139190,26,26,27,30,483,0,0,Plasma and Beam Physics
38,http://orkg.org/orkg/resource/R139191,4,4,39,18,42,0,0,Medicinal Chemistry and Pharmaceutics
39,http://orkg.org/orkg/resource/R139551,10,10,68,26,133,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
40,http://orkg.org/orkg/resource/R139845,7,7,59,43,166,0,0,Planetary Sciences
41,http://orkg.org/orkg/resource/R140347,19,19,87,26,250,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
42,http://orkg.org/orkg/resource/R140449,5,5,39,22,64,0,0,Medicinal Chemistry and Pharmaceutics
43,http://orkg.org/orkg/resource/R140463,8,8,48,26,106,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
44,http://orkg.org/orkg/resource/R140465,10,10,65,26,133,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
45,http://orkg.org/orkg/resource/R140714,5,5,38,23,56,0,0,Medicinal Chemistry and Pharmaceutics
46,http://orkg.org/orkg/resource/R140726,6,6,68,42,145,0,0,Earth Sciences
47,http://orkg.org/orkg/resource/R140805,6,6,67,39,163,0,0,Earth Sciences
48,http://orkg.org/orkg/resource/R141123,6,6,52,43,143,0,0,Earth Sciences
49,http://orkg.org/orkg/resource/R141317,6,6,42,20,63,0,0,Medicinal Chemistry and Pharmaceutics
50,http://orkg.org/orkg/resource/R141336,5,5,14,44,81,0,0,Oceanography
51,http://orkg.org/orkg/resource/R141349,5,5,14,40,86,0,0,Oceanography
52,http://orkg.org/orkg/resource/R141369,5,5,9,26,73,0,0,Oceanography
53,http://orkg.org/orkg/resource/R141385,5,5,9,27,79,0,0,Oceanography
54,http://orkg.org/orkg/resource/R141810,7,7,37,26,92,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
55,http://orkg.org/orkg/resource/R141811,8,8,41,26,106,0,0,"Ecology and Biodiversity of Animals and Ecosystems, Organismic Interactions"
56,http://orkg.org/orkg/resource/R142850,11,11,39,10,49,0,0,Medicinal Chemistry and Pharmaceutics
57,http://orkg.org/orkg/resource/R143746,6,6,184,15,314,0,0,Earth Sciences
58,http://orkg.org/orkg/resource/R143856,6,6,125,18,209,0,0,Earth Sciences
59,http://orkg.org/orkg/resource/R144148,6,6,65,35,147,0,0,Earth Sciences
60,http://orkg.org/orkg/resource/R144251,6,6,83,11,152,0,0,Earth Sciences
61,http://orkg.org/orkg/resource/R144512,7,10,62,13,34,0,0,Medicinal Chemistry and Pharmaceutics
62,http://orkg.org/orkg/resource/R146851,20,32,529,32,612,0,0,Information Science
