,comparison,number_of_papers,number_of_contributions,number_of_resources,number_of_literals,number_of_predicates,number_of_related_resources,number_of_related_figures,research_field
0,http://orkg.org/orkg/resource/R107854,4,4,29,1,5,0,0,Learner-Interface Interaction
1,http://orkg.org/orkg/resource/R108358,12,12,90,249,29,0,0,Geology
2,http://orkg.org/orkg/resource/R108601,4,4,6,24,7,0,0,Digital Communications and Networking
3,http://orkg.org/orkg/resource/R108719,3,3,6,47,19,0,0,Plant Pathology
4,http://orkg.org/orkg/resource/R109041,9,9,10,126,18,0,0,"Atomic, Molecular and Optical Physics"
5,http://orkg.org/orkg/resource/R109236,5,5,21,56,15,0,0,Geology
6,http://orkg.org/orkg/resource/R109546,4,4,17,40,12,0,0,Industrial and Organizational Psychology
7,http://orkg.org/orkg/resource/R109612,10,10,14,160,17,0,0,Oceanography
8,http://orkg.org/orkg/resource/R109904,12,12,15,35,4,0,0,Information Science
9,http://orkg.org/orkg/resource/R110071,4,4,8,30,9,0,0,Biomedical Engineering and Bioengineering
10,http://orkg.org/orkg/resource/R110124,4,4,26,25,9,0,0,Robotics
11,http://orkg.org/orkg/resource/R110138,3,3,4,41,9,0,0,Energy Systems
12,http://orkg.org/orkg/resource/R110188,3,3,4,13,5,0,0,Public Administration
13,http://orkg.org/orkg/resource/R110245,3,3,4,13,5,0,0,Public Administration
14,http://orkg.org/orkg/resource/R110361,7,8,43,21,15,0,0,Place and Environment
15,http://orkg.org/orkg/resource/R110651,2,2,6,20,18,0,0,Urban Studies and Planning
16,http://orkg.org/orkg/resource/R110655,6,6,23,28,15,0,0,Immunology of Infectious Disease
17,http://orkg.org/orkg/resource/R110777,3,3,7,11,5,0,0,Analysis
18,http://orkg.org/orkg/resource/R110991,5,5,7,30,7,0,0,Virology
19,http://orkg.org/orkg/resource/R111117,3,3,5,14,6,0,0,Food Processing
20,http://orkg.org/orkg/resource/R111151,3,3,7,6,5,0,0,Comparative Politics
21,http://orkg.org/orkg/resource/R111154,2,2,12,37,29,0,0,Computer Engineering
22,http://orkg.org/orkg/resource/R112387,19,19,212,398,12,0,0,Software Engineering
23,http://orkg.org/orkg/resource/R113089,8,8,34,1,6,0,0,Information Science
24,http://orkg.org/orkg/resource/R114155,27,27,181,323,17,0,0,Software Engineering
25,http://orkg.org/orkg/resource/R137151,8,8,18,182,20,0,0,Geology
26,http://orkg.org/orkg/resource/R137164,8,8,18,182,20,0,0,Geology
27,http://orkg.org/orkg/resource/R137469,27,29,30,218,9,0,0,Applied Physics
28,http://orkg.org/orkg/resource/R138179,8,8,16,227,20,0,0,Planetary Sciences
29,http://orkg.org/orkg/resource/R138373,8,8,13,121,22,0,0,Oceanography
