,comparison,number_of_papers,number_of_contributions,number_of_resources,number_of_literals,number_of_predicates,number_of_related_resources,number_of_related_figures,research_field,#Statements,#Resources,#DistResources,#Literals,#DistLiterals,#Predicates,#DistPredicates
0,,,,,,,,,,26.0,51.0,4.0,1.0,1.0,26.0,5.0
1,,,,,,,,,,555.0,732.0,79.0,378.0,78.0,555.0,29.0
2,,,,,,,,,,28.0,32.0,4.0,24.0,4.0,28.0,7.0
3,,,,,,,,,,51.0,55.0,3.0,47.0,3.0,51.0,19.0
4,,,,,,,,,,135.0,144.0,9.0,126.0,9.0,135.0,18.0
5,,,,,,,,,,86.0,109.0,16.0,63.0,16.0,86.0,15.0
6,,,,,,,,,,64.0,88.0,5.0,40.0,5.0,64.0,12.0
7,,,,,,,,,,170.0,180.0,10.0,160.0,10.0,170.0,17.0
8,,,,,,,,,,48.0,61.0,12.0,35.0,12.0,48.0,4.0
9,,,,,,,,,,36.0,42.0,4.0,30.0,4.0,36.0,9.0
10,,,,,,,,,,51.0,77.0,5.0,25.0,5.0,51.0,9.0
11,,,,,,,,,,44.0,47.0,3.0,41.0,3.0,44.0,9.0
12,,,,,,,,,,16.0,19.0,3.0,13.0,3.0,16.0,5.0
13,,,,,,,,,,16.0,19.0,3.0,13.0,3.0,16.0,5.0
14,,,,,,,,,,76.0,124.0,9.0,28.0,8.0,76.0,15.0
15,,,,,,,,,,24.0,28.0,4.0,20.0,4.0,24.0,18.0
16,,,,,,,,,,57.0,86.0,8.0,28.0,8.0,57.0,15.0
17,,,,,,,,,,15.0,19.0,3.0,11.0,3.0,15.0,5.0
18,,,,,,,,,,35.0,40.0,5.0,30.0,5.0,35.0,7.0
19,,,,,,,,,,18.0,22.0,3.0,14.0,3.0,18.0,6.0
20,,,,,,,,,,12.0,18.0,3.0,6.0,3.0,12.0,5.0
21,,,,,,,,,,47.0,57.0,5.0,37.0,5.0,47.0,29.0
22,,,,,,,,,,609.0,820.0,200.0,398.0,94.0,609.0,12.0
23,,,,,,,,,,34.0,67.0,9.0,1.0,1.0,34.0,6.0
24,,,,,,,,,,503.0,683.0,178.0,323.0,151.0,503.0,17.0
25,,,,,,,,,,192.0,202.0,8.0,182.0,8.0,192.0,20.0
26,,,,,,,,,,192.0,202.0,8.0,182.0,8.0,192.0,20.0
27,,,,,,,,,,247.0,276.0,29.0,218.0,29.0,247.0,9.0
28,,,,,,,,,,235.0,243.0,8.0,227.0,8.0,235.0,20.0
29,,,,,,,,,,129.0,137.0,8.0,121.0,8.0,129.0,22.0
30,,,,,,,,,,217.0,223.0,6.0,211.0,6.0,217.0,29.0
31,,,,,,,,,,99.0,105.0,6.0,93.0,6.0,99.0,22.0
32,,,,,,,,,,98.0,104.0,6.0,92.0,6.0,98.0,19.0
33,,,,,,,,,,136.0,144.0,8.0,128.0,8.0,136.0,22.0
34,,,,,,,,,,277.0,283.0,6.0,271.0,6.0,277.0,50.0
35,,,,,,,,,,242.0,364.0,12.0,120.0,12.0,242.0,26.0
36,,,,,,,,,,471.0,759.0,55.0,183.0,55.0,471.0,9.0
37,,,,,,,,,,509.0,535.0,26.0,483.0,26.0,509.0,30.0
38,,,,,,,,,,92.0,142.0,5.0,42.0,4.0,92.0,18.0
39,,,,,,,,,,287.0,438.0,13.0,136.0,13.0,287.0,26.0
40,,,,,,,,,,268.0,512.0,13.0,24.0,13.0,268.0,20.0
41,,,,,,,,,,56.0,77.0,7.0,35.0,7.0,56.0,7.0
42,,,,,,,,,,323.0,411.0,57.0,235.0,57.0,323.0,43.0
43,,,,,,,,,,102.0,199.0,10.0,5.0,3.0,102.0,32.0
44,,,,,,,,,,527.0,797.0,22.0,257.0,22.0,527.0,26.0
45,,,,,,,,,,125.0,184.0,8.0,66.0,8.0,125.0,22.0
46,,,,,,,,,,215.0,322.0,10.0,108.0,10.0,215.0,26.0
47,,,,,,,,,,288.0,440.0,13.0,136.0,13.0,288.0,26.0
48,,,,,,,,,,110.0,164.0,9.0,56.0,8.0,110.0,23.0
49,,,,,,,,,,306.0,408.0,66.0,204.0,66.0,306.0,42.0
50,,,,,,,,,,274.0,354.0,67.0,194.0,67.0,274.0,39.0
51,,,,,,,,,,319.0,422.0,51.0,216.0,51.0,319.0,43.0
52,,,,,,,,,,127.0,190.0,11.0,64.0,9.0,127.0,21.0
53,,,,,,,,,,109.0,137.0,5.0,81.0,5.0,109.0,44.0
54,,,,,,,,,,110.0,134.0,5.0,86.0,5.0,110.0,40.0
55,,,,,,,,,,84.0,95.0,5.0,73.0,5.0,84.0,26.0
56,,,,,,,,,,89.0,99.0,5.0,79.0,5.0,89.0,27.0
57,,,,,,,,,,177.0,262.0,8.0,92.0,8.0,177.0,26.0
58,,,,,,,,,,203.0,300.0,10.0,106.0,10.0,203.0,26.0
59,,,,,,,,,,121.0,193.0,13.0,49.0,11.0,121.0,10.0
60,,,,,,,,,,573.0,779.0,184.0,367.0,184.0,573.0,15.0
61,,,,,,,,,,87.0,94.0,7.0,80.0,7.0,87.0,9.0
62,,,,,,,,,,394.0,539.0,125.0,249.0,125.0,394.0,19.0
63,,,,,,,,,,298.0,393.0,60.0,203.0,60.0,298.0,35.0
64,,,,,,,,,,270.0,361.0,80.0,179.0,80.0,270.0,11.0
65,,,,,,,,,,134.0,233.0,44.0,35.0,30.0,134.0,14.0
66,,,,,,,,,,145.0,239.0,30.0,51.0,14.0,145.0,23.0
67,,,,,,,,,,2138.0,3281.0,258.0,995.0,147.0,2138.0,32.0
68,,,,,,,,,,620.0,936.0,26.0,304.0,26.0,620.0,26.0
69,,,,,,,,,,91.0,96.0,5.0,86.0,5.0,91.0,24.0
70,,,,,,,,,,84.0,89.0,5.0,79.0,5.0,84.0,24.0
71,,,,,,,,,,94.0,99.0,5.0,89.0,5.0,94.0,35.0
72,,,,,,,,,,93.0,99.0,6.0,87.0,6.0,93.0,24.0
73,,,,,,,,,,275.0,349.0,61.0,201.0,61.0,275.0,29.0
74,,,,,,,,,,241.0,316.0,61.0,166.0,61.0,241.0,28.0
75,,,,,,,,,,328.0,423.0,90.0,233.0,90.0,328.0,23.0
76,,,,,,,,,,242.0,322.0,68.0,162.0,68.0,242.0,18.0
77,,,,,,,,,,150.0,266.0,40.0,34.0,28.0,150.0,14.0
78,,,,,,,,,,124.0,221.0,37.0,27.0,23.0,124.0,14.0
79,,,,,,,,,,285.0,435.0,13.0,135.0,13.0,285.0,26.0
80,,,,,,,,,,1241.0,2025.0,234.0,457.0,190.0,1241.0,102.0
81,,,,,,,,,,588.0,910.0,68.0,266.0,65.0,588.0,38.0
82,,,,,,,,,,46.0,92.0,6.0,0.0,0.0,46.0,6.0
83,,,,,,,,,,1838.0,3111.0,775.0,565.0,516.0,1838.0,12.0
