contrib,contrib_label,component_label,layer_label,material_name,order,step_n_plus_1_name_label,method_label,quality_label,numeric_value,textual_value,lower_nummeric_value,upper_numeric_value,unit_label
http://orkg.org/orkg/resource/R145728,1 Cladding Layer Component (100Cr6),Bearing washer,Base material,C22.8,1,Deposition welding,Hardness profile,Hardness,,,100.0,200.0,HV0.5
http://orkg.org/orkg/resource/R145728,1 Cladding Layer Component (100Cr6),Bearing washer,Cladding layer,100Cr6,1,Deposition welding,Hardness profile,Hardness,,,350.0,450.0,HV0.5
http://orkg.org/orkg/resource/R145728,1 Cladding Layer Component (100Cr6),Bearing washer,Cladding layer,100Cr6,1,Deposition welding,Micrograph,Microstructure,,pearlitic,,,
http://orkg.org/orkg/resource/R145728,1 Cladding Layer Component (100Cr6),Bearing washer,Base material,C22.8,1,Deposition welding,Micrograph,Microstructure,,ferritic-pearlitic,,,
http://orkg.org/orkg/resource/R145728,1 Cladding Layer Component (100Cr6),Bearing washer,Cladding layer,100Cr6,1,Deposition welding,Nano-scratch test,Indentation depth,10.6,,,,Nanometer
http://orkg.org/orkg/resource/R145728,1 Cladding Layer Component (100Cr6),Bearing washer,Cladding layer,100Cr6,2,Hot forming,Hardness profile,Hardness,,,400.0,550.0,HV0.5
http://orkg.org/orkg/resource/R145728,1 Cladding Layer Component (100Cr6),Bearing washer,Base material,C22.8,2,Hot forming,Hardness profile,Hardness,,,100.0,200.0,HV0.5
http://orkg.org/orkg/resource/R145728,1 Cladding Layer Component (100Cr6),Bearing washer,Cladding layer,100Cr6,2,Hot forming,Micrograph,Microstructure,,pearlitic,,,
http://orkg.org/orkg/resource/R145728,1 Cladding Layer Component (100Cr6),Bearing washer,Base material,C22.8,2,Hot forming,Micrograph,Microstructure,,ferritic-pearlitic,,,
http://orkg.org/orkg/resource/R145728,1 Cladding Layer Component (100Cr6),Bearing washer,Cladding layer,100Cr6,4,Heat treatment,Hardness profile,Hardness,880.0,,850.0,900.0,HV0.5
http://orkg.org/orkg/resource/R145728,1 Cladding Layer Component (100Cr6),Bearing washer,Base material,C22.8,4,Heat treatment,Hardness profile,Hardness,250.0,,200.0,300.0,HV0.5
http://orkg.org/orkg/resource/R145728,1 Cladding Layer Component (100Cr6),Bearing washer,Base material,C22.8,4,Heat treatment,Micrograph,Microstructure,,ferritic-pearlitic and martensite,,,
http://orkg.org/orkg/resource/R145728,1 Cladding Layer Component (100Cr6),Bearing washer,Cladding layer,100Cr6,4,Heat treatment,Micrograph,Microstructure,,martensite,,,
http://orkg.org/orkg/resource/R145728,1 Cladding Layer Component (100Cr6),Bearing washer,Cladding layer,100Cr6,4,Heat treatment,Nano-scratch test,Indentation depth,9.5,,,,Nanometer
http://orkg.org/orkg/resource/R145728,1 Cladding Layer Component (100Cr6),Bearing washer,Cladding layer,100Cr6,5,Machining,Fatigue test,Fatigue,1100.0,,,,hour
http://orkg.org/orkg/resource/R145728,1 Cladding Layer Component (100Cr6),Bearing washer,Cladding layer,100Cr6,5,Machining,Optical and acoustic microscopy,Pores,,true,,,
http://orkg.org/orkg/resource/R145728,1 Cladding Layer Component (100Cr6),Bearing washer,Cladding layer,100Cr6,5,Machining,Pitting test,Deviation factor,81.68,,,,percent
http://orkg.org/orkg/resource/R145728,1 Cladding Layer Component (100Cr6),Bearing washer,Cladding layer,100Cr6,5,Machining,Pitting test,Experimental life,3.88e+06,,,,Revolutions
http://orkg.org/orkg/resource/R145728,1 Cladding Layer Component (100Cr6),Bearing washer,Cladding layer,100Cr6,5,Machining,Pitting test,Weibull shape parameter,3.47,,,,
http://orkg.org/orkg/resource/R145728,1 Cladding Layer Component (100Cr6),Bearing washer,Cladding layer,100Cr6,5,Machining,Residual stress depth profile,Residual stress state,,,-700.0,0.0,MPa
http://orkg.org/orkg/resource/R145728,1 Cladding Layer Component (100Cr6),Bearing washer,Cladding layer,100Cr6,5,Machining,Residual stress depth profile,Residual stress state,,,-600.0,100.0,MPa
http://orkg.org/orkg/resource/R145728,1 Cladding Layer Component (100Cr6),Bearing washer,Cladding layer,100Cr6,5,Machining,Scratch test,Coefficient of friction,0.4,,,,
http://orkg.org/orkg/resource/R145731,1 Cladding Layer Component (41Cr4),Bearing washer,Cladding layer,41Cr4,1,Deposition welding,Hardness profile,Hardness,,,260.0,300.0,HV1
http://orkg.org/orkg/resource/R145731,1 Cladding Layer Component (41Cr4),Bearing washer,Base material,C22.8,1,Deposition welding,Hardness profile,Hardness,,,140.0,170.0,HV1
http://orkg.org/orkg/resource/R145731,1 Cladding Layer Component (41Cr4),Bearing washer,Base material,C22.8,1,Deposition welding,Micrograph,Microstructure,,ferritic and pearlitic,,,
http://orkg.org/orkg/resource/R145731,1 Cladding Layer Component (41Cr4),Bearing washer,Cladding layer,41Cr4,1,Deposition welding,Micrograph,Microstructure,,pearlitic,,,
http://orkg.org/orkg/resource/R145731,1 Cladding Layer Component (41Cr4),Bearing washer,Cladding layer,41Cr4,1,Deposition welding,Optical and acoustic microscopy,Pores,,true,,,
http://orkg.org/orkg/resource/R145731,1 Cladding Layer Component (41Cr4),Bearing washer,Cladding layer,41Cr4,2,Hot forming,Hardness profile,Hardness,,,180.0,280.0,HV1
http://orkg.org/orkg/resource/R145731,1 Cladding Layer Component (41Cr4),Bearing washer,Base material,C22.8,2,Hot forming,Hardness profile,Hardness,,,140.0,170.0,HV1
http://orkg.org/orkg/resource/R145731,1 Cladding Layer Component (41Cr4),Bearing washer,Cladding layer,41Cr4,2,Hot forming,Micrograph,Microstructure,,ferritic and pearlitic,,,
http://orkg.org/orkg/resource/R145731,1 Cladding Layer Component (41Cr4),Bearing washer,Base material,C22.8,2,Hot forming,Micrograph,Microstructure,,ferritic and pearlitic,,,
http://orkg.org/orkg/resource/R145731,1 Cladding Layer Component (41Cr4),Bearing washer,Cladding layer,41Cr4,2,Hot forming,Optical and acoustic microscopy,Pores,,true,,,
