Nr.,Comment in English,Spam / Ham,Polarity,Likes,Replies
1.0,Imagine car size potholes on road.,ham,neutral,0,0
2.0,This defeats the definition of cars,spam,neutral,0,0
3.0,"When you realize the bottom of the earth is empty.......

Why are we not dead?",spam,negative,0,0
4.0,Hyperpod?,spam,neutral,0,0
5.0,"We have to learn this for a school project, so boring 😗",spam,negative,0,0
6.0,Kinda boring,spam,negative,0,0
7.0,"dear future this man is gonna change alot
by ALOT I MEAN 
ALLLOOOTT",spam,neutral,2,1
8.0,So how will people access gps,ham,neutral,0,0
9.0,If Elon was president:,spam,neutral,0,0
10.0,"Some kid in the 70s : flying cars in future!

2020: T E S L A",spam,neutral,0,0
11.0,I don’t really see the benefits in this though..,spam,negative,0,0
12.0,"atleast a coup[le are here from ""elon r u ok""",spam,neutral,0,0
13.0,imagine everyone used the boring tunnel,spam,neutral,0,0
14.0,"Wow, so boring.",spam,negative,0,0
15.0,Such a boring concept,spam,negative,0,0
16.0,"Yeah, of course, that's all and will dig it up",spam,negative,0,0
17.0,I like fire truxcks.,spam,neutral,0,0
18.0,"I dont get it tho
Do u have to be like super rich to get that privelage",ham,neutral,0,0
19.0,"What about subways?? We already have subways, right? Isnt these Elon tunnel cost inefficient?",ham,negative,0,0
20.0,why..,spam,neutral,0,0
21.0,Where do i find this?,spam,neutral,0,0
22.0,Another way of Boomer,spam,neutral,0,0
23.0,thats what u call a train elon stop the weed its too much for u,spam,neutral,0,0
24.0,I can just walk there and enter the tunnel without driving a car,ham,neutral,0,0
25.0,Elon musk be like I giorono gavana have a dream and this is it,spam,neutral,0,0
26.0,What happened if u ride a motorcycle in there,ham,neutral,0,0
27.0,Would i be able to experience it im my lifetime?,spam,neutral,0,0
28.0,Uhh? What’s the point of having a car then?,spam,neutral,0,0
29.0,"So the cars havd wheels for nothing.
Lol",spam,negative,0,0
30.0,why do you need windows on an car if you just gonna be under ground,spam,neutral,0,0
31.0,OMFG.,spam,neutral,0,0
32.0,ok but why,spam,neutral,0,0
33.0,What's the point of sitting in the car,spam,neutral,0,0
34.0,#carbogo,spam,neutral,0,0
35.0,"Even if just one if his brilliant ideas went through, he would be a legend. 
This is multiple ideas he is creating. There should be a knew term for it like a man of Musk.",spam,positive,0,0
36.0,"Man this is an amazing idea but there are some flaws like 
1) what if the power goes out
2) what if the tunnel collapses 
3) earthquake 
4) what if someone jumps out of there car or manages to get there car off the thing
5) can it flood",ham,neutral,0,0
37.0,"yeah hollowing the entire ground under buildings weighing who knows how many tons 

sounds like a good idea to me",ham,negative,0,0
38.0,"Toxic driver be like: *cuts in line*
Accidents sometimes intentionally happen
Toxic driver: i was here first

Unless you go full automated im pretty sure there'll be people who are impatient and really aggressive ones.

Because they invented lots of ways to make driving more comfortable, more safer, more durable.

Toxic driver: car goes brrrrrrrrooooooom fast. Not fast, bad car.

But hey nice idea.
Then the people would ride a car that would ride a car that will ride into a bigger bus that gives ride to lots of cars.",ham,negative,0,0
39.0,Sale boring bricks,spam,neutral,1,0
40.0,This is wonderful👌,spam,positive,0,0
41.0,WHAT,spam,neutral,0,0
42.0,From the thumbnail i thought it was a parody/meme video!!😅,spam,negative,0,0
43.0,The traffic is gonna get created because too many people wanna go on it lel😭😭😭,ham,negative,0,0
44.0,If this is the future I don’t like it no offense,spam,negative,0,0
45.0,I'm sure he smokes high dose weed.,spam,neutral,0,0
46.0,What happened if in tunnel got a accident,ham,neutral,0,0
47.0,Humans will travel like moles and rats,spam,neutral,0,0
