Nr.,Comment in English,Spam / Ham,Polarity,Feature Request,Problem Report,Safety,Efficiency
1,Imagine car size potholes on road.,ham,neutral,x,x,,
8,So how will people access gps,ham,neutral,,x,,
18,"I dont get it tho
Do u have to be like super rich to get that privelage",ham,neutral,,,,
19,"What about subways?? We already have subways, right? Isnt these Elon tunnel cost inefficient?",ham,negative,,,,x
24,I can just walk there and enter the tunnel without driving a car,ham,neutral,,,x,
26,What happened if u ride a motorcycle in there,ham,neutral,,x,x,
36,"Man this is an amazing idea but there are some flaws like 
1) what if the power goes out
2) what if the tunnel collapses 
3) earthquake 
4) what if someone jumps out of there car or manages to get there car off the thing
5) can it flood",ham,neutral,,x,x,
37,"yeah hollowing the entire ground under buildings weighing who knows how many tons 

sounds like a good idea to me",ham,negative,,x,x,
38,"Toxic driver be like: *cuts in line*
Accidents sometimes intentionally happen
Toxic driver: i was here first

Unless you go full automated im pretty sure there'll be people who are impatient and really aggressive ones.

Because they invented lots of ways to make driving more comfortable, more safer, more durable.

Toxic driver: car goes brrrrrrrrooooooom fast. Not fast, bad car.

But hey nice idea.
Then the people would ride a car that would ride a car that will ride into a bigger bus that gives ride to lots of cars.",ham,negative,,x,x,
43,The traffic is gonna get created because too many people wanna go on it lel😭😭😭,ham,negative,,x,,x
46,What happened if in tunnel got a accident,ham,neutral,,,x,
61,"These tunnels will be expensive. Not for the size, but to make them Earthquake 
Proof since L.A is in an Earthquake zone. A Major Earthquake zone too.",ham,negative,,,x,x
63,It would make traffic way worse because the cars behind would have to wait,ham,negative,,x,,
64,What happens if a car falls into the hole in the road?,ham,neutral,,x,x,
68,My question is what is the car wants to go backwards like back to where the model s started,ham,neutral,,,,
75,Imagine the damage that an earthquake could cause to all this.,ham,negative,,,x,x
81,Lol just wait until they hit a sewage pipe while drilling,ham,neutral,,,x,
87,"I mean it's a nice concept, but I think it's practically impossible to get this job done.
 Tunnels are under ground and you have a lot of work from that. 
And with all the trash driving above the ground you'll never ever get the job done...",ham,negative,,x,,x
99,"Now: Congestion on roads, Elon Musk starts making tunnel UNDER roads
When tunnels are done: Congestion in TUNNELS",ham,neutral,,x,,x
103,Earthquakes will have a field day with this one,ham,neutral,,x,x,
109,What if an idiot falls into the hole when the Tesla went down,ham,neutral,,x,x,
122,"So is there just a hole in the road? This seems kinda dangerous... 
Haha but really cool concept I think this will be the future if not flying traffic is:))",ham,neutral,,,x,
131,"Many cars will fall in these holes, cars will fall in the hole",ham,negative,,x,x,
135,Yep then little Timmy falls down the Tesla pit,ham,neutral,,,x,
142,what would happened if a car were to be on the pads like on the surface,ham,neutral,,,,
148,What about the rain and snow?,ham,neutral,,x,x,
151,"A metro rail with extra steps, inefficiency, and fuel cost.",ham,negative,,,,x
154,Just imagine getting into a crash in there,ham,negative,,,x,
156,"How would this work with cities that you cant build 
underground like Florida? would the be floating tunnels lol-",ham,negative,,x,x,
157,What if a gas car hops on and gets it in the tunnel or will it know if it’s a gas car,ham,neutral,,x,x,
165,"Uh oh crackheads are gonna love this... Watch your going to see like 
5 homeless peeps riding this down into there new cardboard duplex",ham,neutral,,x,,
170,"I don't think this concept is feasible. It simply can't be making positive returns. The cost of digging a subway tunnel in US city is about 2.5 billion dollars, so...

Or maybe Elon Musk signed some kind of deal with the devil for 99% discount for digging tunnels, I dunno.",ham,negative,,,,x
172,What about the electric?,ham,neutral,,,,
176,60k people like this ..... i wonder if they still like it when they crash the car into a hole in the road,ham,negative,,,x,
190,Is there a extra toll or do u have to book it in ur Tesla screen,ham,neutral,,,,
195,But is it only for rich or for everyone?,ham,neutral,,,,
199,Totally unsafe if some one falls in that hole,ham,negative,,,x,
200,Totally safe there is just a hole in the road after the elevator goes down,ham,neutral,,,x,
201,"I’m sorry but this doesn’t make sense to me. It will be slow as roads
 because once every starts using the tunnels then there will be lines and then you mine as well drive there",ham,neutral,,,,x
211,Why not just use the self driving part of the Tesla what’s the point of the carrier thing.,ham,neutral,x,,,
215,"What if...someone falls into that hole if he is behind the tesla *in night*....?🧐
 and if it’s a separate lane for tesla...then it’s gonna cause more traffic...😑",ham,negative,,x,x,
238,Lol trust me you're gonna see a million cars line up to use the tunnel,ham,neutral,,,,x
240,Just wait for the grandma to drive into the hole when the lift is lowered,ham,neutral,,,x,
246,Will this work on non-tesla cars too?,ham,neutral,x,,,
249,They should do that but make it only for teslas,ham,neutral,x,,,
258,imagine hearing rumbling underground forever,ham,neutral,,,,
271,Very unsafe I see no emergency exit at all,ham,negative,,x,x,
274,"if that can carry man, why should it be carrying those unwanted weights of car
 jeez waste of tons of energy",ham,negative,,x,,x
287,loud,ham,neutral,,x,,
293,"One thing that people don’t realize about driving, it’s all about sight seeing.
 Who the hell wants to look at concrete wall for   30 minutes straight.",ham,neutral,,x,,
295,what is someone jumps down there?,ham,neutral,,,x,
297,"This is something that is inevitable in Chicago. I’ve long thought that I-290 and parts of I-90 will either have to build tunnels or build elevated highways over existing ones. 
If you look at I-290 heading into downtown Chicago there is literally no room to expand the highway - each side has access roads and houses making expansion impossible. 
An elevated highway might be cheaper to build but would likely be more expensive to maintain - especially during the winter. Some kind of steam heating built underneath the road would be needed to stop snow accumulation. 
If the costs of tunneling go down it will be the way forward for cities like Chicago where there is no more room to build standard highways.",ham,positive,,,,x
301,And if it was the queue for accessing this?,ham,neutral,,,,
302,it would be insane if you could charge your car while riding the tunnel,ham,neutral,x,,,x
304,Funny thing is traffic is gonna exist there now,ham,neutral,,x,,x
305,Not posible its full of shit out there becouse no space for tunnels canalization,ham,positive,,x,,
328,What if there was an accident inside the tunnels? Tf they gonna do then,ham,neutral,,,x,
329,I would use It only If goes over 300mph like Hotwheels,ham,neutral,x,,,
333,"How many of these can co-exists? traffic would start to build 
up for these Taxis and then we would be back to square one!",ham,negative,,x,,x
336,"Here I go hanging myself out to criticism...I agree with the concept of tunnels.
  Surface real estate is finite. The earths population is and will continue to grow and the need for that finite real estate will compete among transportation, housing and agriculture.  It is better to commute in tunnels than try to grow crops.  The two big obstacles to overcome is the mindset of man(kind) and cost per cross-sectional area.  My biggest concern is lack of foresight planning which takes into account other needs for subterranean real estate.",ham,positive,,x,,x
349,What if there was a 6.9 earthquake that would be pretty cool.,ham,positive,,,x,
357,Park your car and wait for your turn to enjoy tunnel.,ham,neutral,,,,
360,I hate the fact that we are in 2020 and still building tunnels instead of flying cars.,ham,negative,,,,
362,"this is a great idea. if you ever reach to do this, you could make it to be a paid service.
 ex: the ppl could call it railcar, or something like it, and put it a monthly price. how would the ppl gain acces to the tunnels? using a box (kinda like the auto toll ones) in its car. i hope anyone saw this idea.",ham,positive,x,,,
388,This is dumb. Why not just implement more public transit.,ham,negative,,,,
393,Ok so the company has thought of earth crust problems.  The surface road will become very weak.,ham,negative,,x,x,
394,1.08 Red car pulls up like a king to car elevator thingy without a bottleneck.....definitely is unbelievable! ,ham,neutral,,,,
396,"how many tunnels do we need underground? for subway train, hyperloop, boring company,...",ham,negative,,,,
397,"The Boring Company : how to put autonomous cars on autonomous car pods.
Also The Boring Company : how to build expensive heavy load car elevators to access tunnels instead of less expensive tunnel in and out drive ways like on regular tunnels.
Would it not cost less : 1) if instead of car elevators you would have the usual tunnel driveways for several floors or like in a subterranean parking building drive ways to lower floors.
2) and leaving out the expensive high maintenance car pods and let the autonomous cars drive alone in the tunnels on the correct paths would also be better.",ham,neutral,x,,,x
398,"Man this looks a bit imaginary
It's really tough to do this
It would be better if this system was made only for Ambulance, Police Cars and other emergency vehicles",ham,neutral,x,,,
401,"The Boring Company should consider  tunnels for flood control, a field to be researched...",ham,neutral,x,,x,
404,"Then one day an earthquake will happen and the tunnels will break down and 
every building on top will fall 20m down and result in dull destruction",ham,negative,,x,x,
405,"with this, highways would be considered weak and fragile. now we can travel the city when there’s a nuclear blast",ham,negative,,x,x,
409,How do i say where i want to go?,ham,neutral,,,,
424,Perfect for new cities,ham,positive,,,,
439,"Everyone saying taxis for cars or making fun, you guys lack common sense.
As self driving cars are not fully automated rn, that's why company shows us a pad on which the car is static but once it's cars are fully automated, all the cars will drive themselves in the tunnels.
This elon guy is a future genius, he thinks of years ahead( ex- colonizing mars)",ham,neutral,,,,
451,when you forget to have a speedlimit so everyone died,ham,neutral,,x,x,
456,"Instead of Decongesting Cities they Build freeways and Tunnels and all that does is
 Compound the Oroblems they're already having by making People from other Cities, States and Countries to move to that place thinking life has become better and safer and it adds more people compounding the problem .",ham,negative,,,,x
457,"Cool idea but how will the car holders get back to where they started? 
Perhaps an attachment to the actual vehicle will be better. Like a couple hooks or something",ham,neutral,x,,,
459,I think you should ad a roof that closes when the car goes down so I don’t fall into the hole,ham,neutral,x,x,,
473,"The question is, how is all this going to get organized... Or how much will it cost…
 Maybe would be okay to use like  the HOV express paid lanes, something like that",ham,neutral,x,,,
476,Do you have to have a Tesla,ham,neutral,,,,
477,why dont u just build a trian underground?,ham,neutral,,,,
483,How are they going to dig all that hole and spaces underground? Cars and people are gonna fall into the holes.,ham,negative,,x,x,
485,"what about other 1000 cars that left on the street? how many wholes do you need.
..i like the vision but I dont see how its going to be implemented...",ham,neutral,,x,,x
496,wouldn't this leave a hole in the ground for people to drive into?,ham,neutral,,x,x,
497,"Rather than boring a maze underground,  he should better be investing in flying cars. 
Even his Tesla would be in a precarious situation with the emergence of Hydrogen Fueled cars..",ham,neutral,x,x,,
499,"We dont need cars just capsules that are ours, the vehicles will come and 
take us were we need and we can travel on public transportation without this problem of using a public bench",ham,neutral,x,,,
502,What if it gets a flat tire or the tire explodes,ham,negative,,x,x,
504,Wouldn't it be cheaper to just build more roads to work with self driving cars?,ham,negative,,,,x
505,What is you just stood on the platform and let it take you around the place be like a rollercoaster,ham,neutral,,x,,
508,"Tunnel formation company that wants to ease up traffic, only fear is sink holes and earthquakes",ham,negative,,,x,
510,"0:57 you r showing only one car waiting,i guess it would be 100s of cars",ham,neutral,,x,,
514,"This is a good concept, but if electronic system shut down while the driver is underground, how does he get out?",ham,positive,,x,x,
515,"What if the car struck in the middle of tunnel...
..more boring lmao",ham,positive,,x,x,
516,"One question, why don't you just build a subway. 1.) A subway is way more beneficial to people who doesn't have car. 
2.) a subway is way Way WAY more space efficient than these cars",ham,negative,,,,x
517,Good idea but what about the possibility of sinkholes,ham,positive,,,x,
522,"Elon, Love your work. I'm a big fan. You are awesome. Along with, or rather than, the skid skate that any car may use.
. Tesla should build a tunnel ready vehicle with modified wheel hubs to ride on metal rails in the tunnels. Use a 3rd rail to power and recharge the Tesla battery while on the rails. Tesla computers would interface with the tunnel computers to maintain speed, safe distance, and merging to enter or exit the high speed transit rail.  The tunnel ready cars should seamlessly transition from human drivers on asphalt to automated override on the tunnel rails.",ham,neutral,x,,,
523,"Oh god oh god .... This system is not possible to establish on an already established city .... 
Only a future planned city worth billions can make this thing happen .",ham,negative,,x,,
526,"Why bother making Tunnels? Waste of time and money! Go air with drone propellers on your car 
automate the whole flight and you got air highways! Faster and cheaper and much more efficient",ham,negative,x,,,x
531,Imagine if there was an earthquake and you were underground,ham,negative,,,x,
535,I dont get get it how does this solve traffic would there be a line waiting to get into the tunnel,ham,neutral,,x,,x
536,"Maybe he could get his engineers to design a 3D tunnel printer to use some of the debris 
to print the completed framework behind the boring machine.",ham,neutral,x,,,
537,"If under ground is taken up by roads and the ground we stand on concrete and buildings , 
and air  full of delivery drones where is the place for humans plants and animals?  🤔",ham,negative,,x,,
538,"what about if the car isn't electric? i love the idea of it , but not every car will be electric.
 Most people are sitting here calling it a subway when really its beyond subway, it's literally a subway for cars , constant movement , no lights , and no traffic. It is ideal in this day in age , when traffic is more consistent in populated cities.",ham,positive,,x,,
548,"Wait!  No barriers at the road level when the platform lowers?!?!  Just an unprotected hole in the road big enough
 for a car or pedestrian to fall into?!?!  What can possibly go wrong...",ham,neutral,,x,x,
568,It looks amazing but I fear there might be an accident,ham,neutral,,,x,
572,I love the way that he thinks of making a tunnel like this but what is the fun about driving if u arent going to drive at all?,ham,positive,,x,,
573,"Doomed to failure, and the animation does not even closely resemble the sewer pipe they drove the Tesla in a couple months back.
The number of vehicles able to traverse this system is limited to the number of skates. The number of skates is limited to the number of parking spaces collectively used. When you enter the system you have rely on a skate being present. When you exit the system, you have to pray there is no skate in the stall you want to leave through. If you have more skates in the system than parking spaces, it is theoretically possible to have all the spaces occupied and nowhere available to exit the system.
Musk's vapid comments about being able to ""drill down indefinitely to create levels upon levels of tunnels"" should also clue most people in to the fact that he has NO clue. How does your skate get to the third level or 12th level of tunnels without encountering the others above it, how do you get from one level to the next, how do those tunnels converge at the terminus? How do you extract cars that wreck, catch fire (as Teslas do). And how are you expected to travel at hundreds of mph when your Tesla has no such top speed? In the LA sewer tunnel prototype, the heavily modified Tesla used its own motor to traverse the tunnel, and at a minimal top speed to boot. 300mph?  Pfft!
Let's say the skates actually were able to do 300mph. The car's suspension is not built for that. How is the skate going to attach itself to the vehicle? Wheel hubs, perhaps? Well, THEY'RE not built for that acceleration/deceleration either. And the safety features/airbags/crumple zones are ALSO not built to withstand accidents at 300mph. Also, whiplash much?
Just some of the things MuskRat never thought about before paying computer animators big bucks to separate you from your cash. 
He's PT Barnum, people. Howard Hughes reincarnate. The sooner you realize this, this safer your wallet will be.",ham,negative,,x,x,x
575,"All the cars will go underground so make limit like an indicator in front that car lifting
 machine red/green and it's definitely gonna cost damn",ham,negative,x,,,x
576,Looks very impractical and complex. Why just not build a subway.,ham,negative,,,,
577,"the real way to make a working travel system is: NO CARS! only a free underground 
travel system like the one that Elon Musk already created.",ham,neutral,x,,,
578,after watching i wonder what is point of having vehicle when you have that auto drive thing inside the tunnel,ham,neutral,,,,
585,"Car elevators arn't needed. Simply use existing car garages in the city under buildings
 as entry/exit points by building extra ground floor for entering into tunells. Cars can travel from one garage to another through tunells at high speeds, freeing streets. Great idea. For higher speeds air should be pumped in the direction of traffic to reduce air friction. Besides little wheels reinforced bumpers should be added. In case of power loss other cars can always push it through from behind.",ham,neutral,x,,,
588,"This is cool as shit but 2 things
I know you can't hit debris in the lanes or anything but, what if somebody throws something out of the window? And
What if there's a major earthquake under LA?",ham,neutral,,x,x,
589,"What a stupid idea. It is extremely unsafe, it is extremely expensive to transport single persons that way.
A better solution would be to keep the cars completely out of the city and transport only the people in and out. Either above ground or underground. Put them in groups in bigger vehicles and drive them to various locations. That can be very easy scheduled.
Oh wait, that already exist: it called Bus Transit and Subway.
This car tunnel idea is as stupit as the hyperloop.
I believe the guy who came up with this ideas only tries to get investors to spend money on it that he can grab of it.",ham,negative,,,x,x
591,There will be huuge queues in the entrances and outs of the tunnel. Useless,ham,negative,,x,,x
592,"Cities are congested due to poor planning for the future. Just leave it at that. 
The swap/share electric bikes is a good solution.  I think a this application would be better suited to interstate high usaged. Modeled for primary use buy trucks, buses and anyone running a long distance trip. I'm speaking from Australia seeing it being useful to connect our big cities to each other. No need for the tunnel though. Just basically have a series of multiple rail road tracks headed each way with loading systems for vehicle wanting to use them. Remove the long distance travelers of the road with such a system and it will help free up the highways a little bit",ham,neutral,x,x,,
593,"Great idea but how lang would the line be for the lifts? This just seems like its not removing the traffic jam, 
its just moving it from the roads to the lifts",ham,positive,,x,,
600,"hell no going 200 and something malfunctions, deadly crash.",ham,negative,,x,x,
603,How about being compatible with all cars,ham,neutral,x,,,
608,too bad that terrorism exists and we can't have cool things like this because of those tards.,ham,negative,,,x,
611,I like seeing the sky when I drive.,ham,neutral,,,,
614,"Good job, you created the most expensive and impractical subway ever devised.  How useless.  Just make a fucking retrofitted 
Maglev railway system, or at least just use the hyperloop idea and stick with it.  This solves close to no issues, and in a technological perspective, a step back from what could have been in America.  I'm all in for innovation, but this is not anything close to practical and useful for the general public, let alone 'advanced'.  Humanity should be looking more towards space travel, something that hasn't been innovated as often as it was in the Space Race.",ham,negative,,x,,x
615,Looks fun but if something is gonna go wrong how is the fire department/police gonna fit in??,ham,negative,,x,x,
619,"Lets say there was a malfunction and a car crashed. How would emergency services get there,
 if there are tens of cars right behind?",ham,neutral,,,x,
623,"How does one take away the chance of an accident happening suck as a crash? 
Simple, take away there control on driving.",ham,neutral,x,,x,
626,Using all these tunnels for a subway system would be a much better idea,ham,negative,x,x,,
627,What’s the expense,ham,neutral,,,,x
635,"Yeah right. We will never see this technology. It would cost too much and take decades to build.
 Underground in urban areas are already pre-occupied with tube systems.",ham,neutral,,,,x
642,"This can be consider as a type of public transport for car, truck,... But why just one by one?",ham,neutral,,x,,x
650,"There will be those dumbass people who will jump down the hole or
 end up trying to ride the thing with no car or protective thing",ham,negative,,x,x,
661,Imagine the lines for that and traffic jam caused by it,ham,neutral,,x,,x
663,It's all great till an emergency exit is required. Then where do you exit? Stuck in a tunnel for life!,ham,positive,x,x,x,
674,Good i guess but how would they know where they r going?,ham,neutral,x,x,,
675,"But what if while someone is first in line and someone's collides into their rear end,
 wouldn't the car that is first in line fall straight into a hole or onto another car?",ham,neutral,,x, ,
682,"Hey, how much will it cost?",ham,neutral,,,,x
693,So this is just going to make traffic worse if everyone has to sit and wait for this elevator for cars to come back up.,ham,negative,,x,,x
695,"To dig this there if they are is fufu .... Then there is an earthquake and it destroys everything
 😂😂😂😂 there has to dig again 😂 it's worse q Minecraft in 😂😂",ham,negative,,x,x,x
698,This is all nice and dandy and cool until an earth quake occurs,ham,neutral,,,x,
699,Wouldn't it be cheaper to do this elevated monorail style?,ham,neutral,x,,,x
703,"1 earthquake would decimate the entire system, and this would need to be a paid service since who the
 fuck would want to waste tax money on whats basically a car subway, and that paid service would be extremely expensive.",ham,negative,x,x,x,
704,Why tunnels to transportate cars when we can transportate people?,ham,neutral,x,x,,
709,"This does not fix the problem. Subways are much better. They need to be extended
And people need better transportation to their house from the subway.",ham,negative,x,x,,
713,"Yeah right, on LA streets, an entire lane just magically frees up so the Teslas can effortlessly drive onto a trailer.
  Trailer goes down, leaving a car size opening on the ground, and no dumbazz driver will follow into that hole. And there would never be a mechanical breakdown in a SINGLE lane tunnel.  Riiiight....",ham,neutral,,x,x,
715,What if one terrorist guy exploded c4 inside tunnel?,ham,negative,,,x,
720,Suppose an earthquake occurs.,ham,neutral,,,x,
724,How about flying cars?,ham,neutral,x,,,
728,Question: how much to use this service? Also what if there is a de-rail?,ham,neutral,,,x,x
732,"I love the idea,  but not until all cars are self driven. Imagine how many idiots that will follow behind and
 drive right into the hole/ elevator shaft. Or smash into that clear public transport one killing everyone because they were too busy looking at their cell phone.",ham,positive,,x,x,
